NOME DO MUNICÍPIO;CO_ENTIDADE;NO_ENTIDADE;Endereço;Escola;Dependência Administrativa;Conveniada Poder Público;Latitude;Longitude;Município;Localização;Matrículas;Escolas
Olinda;26114658;ESCOLA MUNICIPAL MINISTRO MARCOS FREIRE;AVENIDA PIRAMIDES, S/Nº ALTO DO SOL NASCENTE. 53200-080 Olinda - PE.;ESCOLA MUNICIPAL MINISTRO MARCOS FREIRE;Municipal;Não;-7,976135038;-34,91167901;Olinda;Urbana;47;1
Cabo de Santo Agostinho;26130785;PROFESSORA CREMILDA MARIA SANTANA DE OLIVEIRA;AVENIDA ERALDO GUEIROS LEITE, S/N GARAPU. 54517-020 Cabo de Santo Agostinho - PE.;ESCOLA MUNICIPAL PROFESSORA CREMILDA MARIA SANTANA DE OLIVEIRA;Municipal;Não;-8,242132122;-34,98238026;Cabo de Santo Agostinho;Rural;92;1
Olinda;26114917;ESCOLA MUNICIPAL DOM JOAO COSTA;RUA PREFEITO MANOEL REGUEIRA, 49 BULTRINS. 53320-160 Olinda - PE.;ESCOLA MUNICIPAL DOM JOAO COSTA;Municipal;Não;-8,0015238;-34,84701955;Olinda;Urbana;52;1
Olinda;26188961;CENTRO MUNICIPAL DE EDUCACAO INFANTIL VALERIO MACIEL LEITAO;RUA ODILIO CAMPOS, 1432 CASA CAIADA. 53130-210 Olinda - PE.;CMEI VALERIO MACIEL LEITAO;Municipal;Não;-7,988751897;-34,84416601;Olinda;Urbana;118;1
Olinda;26185016;ESCOLA MUNICIPAL SHEKINA;RUA MONTE ALEGRE, 300 OURO PRETO. 53370-293 Olinda - PE.;ESCOLA MUNICIPAL SHEKINA;Municipal;Não;-7,989555475;-34,86985208;Olinda;Rural;31;1
Olinda;26114186;ESCOLA MUNICIPAL BASE RURAL MARGARIDA ALVES;RUA PROFESSOR AGAMENON MAGALHAES - SITIO OURO PRETO, S/Nº OURO PRETO. 53230-010 Olinda - PE.;ESCOLA MUNICIPAL BASE RURAL MARGARIDA ALVES;Municipal;Não;-7,988489699;-34,87673019;Olinda;Rural;6;1
Recife;26190087;CRECHE ESC RECIFE ALTO DO MANDU-;2ª TRAVESSA SIRIJI, SN MONTEIRO. 52071-319 Recife - PE.;CRECHE ESCOLA RECIFE ALTO DO MANDU;Municipal;Não;-8,023618335;-34,92928168;Recife;Urbana;61;1
Goiana;26089335;ESCOLA MUNICIPAL EUFRASIO VILLARIM;SITIO IBEAPICU, SN TEJUCUPAPO. 55900-000 Goiana - PE.;ESCOLA MUNICIPAL EUFRASIO VILLARIM;Municipal;Não;-7,623251478;-34,90100294;Goiana;Rural;16;1
Ipojuca;26164507;ESCOLA MUNICIPAL BELA VISTA;RUROPOLIS, SN BELA VISTA. 55590-000 Ipojuca - PE.;ESCOLA MUNICIPAL BELA VISTA;Municipal;Não;-8,408;-35,068;Ipojuca;Urbana;60;1
Cabo de Santo Agostinho;26129876;ESCOLA MUNICIPAL JOAQUIM NABUCO;RUA MASSANGANA, S/N MASSANGANA. 54570-000 Cabo de Santo Agostinho - PE.;ESCOLA MUNICIPAL JOAQUIM NABUCO;Municipal;Não;-8,357905279;-35,01559085;Cabo de Santo Agostinho;Rural;14;1
Cabo de Santo Agostinho;26217805;CENTRO DE EDUCACAO INFANTIL PONTEZINHA 2;RUA DA ESTACAO, S/N PONTEZINHA. 54590-000 Cabo de Santo Agostinho - PE.;CENTRO DE EDUCACAO INFANTIL DE PONTEZINHA II;Municipal;Não;-8,220801687;-34,96425552;Cabo de Santo Agostinho;Urbana;29;1
Cabo de Santo Agostinho;26177439;CENTRO DE EDUCACAO INFANTIL DE PONTEZINHA;RUA DA ESTACAO, S/N PONTEZINHA. 54590-000 Cabo de Santo Agostinho - PE.;CENTRO MUNICIPAL DE EDUCACAO INFANTIL DE PONTEZINHA;Municipal;Não;-8,223395905;-34,96533123;Cabo de Santo Agostinho;Urbana;154;1
Ipojuca;26182750;ESCOLA MUNICIPAL NIVALDO PEREIRA DE LIMA;RUA ALTO SAO JOAO, SN RURUPOLIS. 55590-000 Ipojuca - PE.;ESCOLA MUNICIPAL NIVALDO PEREIRA DE LIMA;Municipal;Não;-8,41284272;-35,07276645;Ipojuca;Urbana;17;1
Ipojuca;26184974;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL DE PORTO DE GALINHAS;RUA ESPERANCA, SN PORTO DE GALINHAS. 55590-000 Ipojuca - PE.;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL DE PORTO DE GALINHAS;Municipal;Não;-8,5;-35,011;Ipojuca;Urbana;231;1
Paulista;26187418;CRECHE ESCOLA MUN NOSSA PRATA;RUA LUAR DE PRATA, 60 MARANGUAPE II. 53422-714 Paulista - PE.;CRECHE ESCOLA MUN NOSSA PRATA;Municipal;Não;-7,936605178;-34,85984638;Paulista;Urbana;125;1
Cabo de Santo Agostinho;26177412;CENTRO DE EDUCACAO INFANTIL - PONTE DOS CARVALHOS;RUA LIDIVINA CARVALHO DOS SANTOS - LOTEAMENTO ILHA, 100 LOTEAMENTO. PONTE DOS CARVALHOS. 54590-000 Cabo de Santo Agostinho - PE.;CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA JOSEFA MIGUEL DA HORA;Municipal;Não;-8,236511614;-34,9927527;Cabo de Santo Agostinho;Urbana;61;1
Camaragibe;26189267;CMEI LUIZ ANTONIO DE PONTES RAMOS;RUA JOSE BELEM DE LIMA, 70 ESPLANADA DO ACUDE. TIMBI. 54768-847 Camaragibe - PE.;CMEI LUIZ ANTONIO DE PONTES RAMOS;Municipal;Não;-8,018676605;-34,99106748;Camaragibe;Urbana;109;1
